Tiempo,RmsElectro
0.0390625,1.237
0.04296875,1.237
0.046875,1.236
0.05078125,1.236
0.0546875,1.236
0.05859375,1.236
0.0625,1.236
0.06640625,1.236
0.0703125,1.236
0.07421875,1.236
0.078125,1.235
0.08203125,1.235
0.0859375,1.235
0.08984375,1.235
0.09375,1.235
0.09765625,1.235
0.1015625,1.235
0.10546875,1.235
0.109375,1.235
0.11328125,1.235
0.1171875,1.235
0.12109375,1.235
0.125,1.235
0.12890625,1.235
0.1328125,1.235
0.13671875,1.235
0.140625,1.235
0.14453125,1.235
0.1484375,1.235
0.15234375,1.235
0.15625,1.235
0.16015625,1.235
0.1640625,1.235
0.16796875,1.235
0.171875,1.235
0.17578125,1.235
0.1796875,1.235
0.18359375,1.235
0.1875,1.235
0.19140625,1.235
0.1953125,1.235
0.19921875,1.235
0.203125,1.235
0.20703125,1.235
0.2109375,1.235
0.21484375,1.235
0.21875,1.235
0.22265625,1.235
0.2265625,1.235
0.23046875,1.235
0.234375,1.235
0.23828125,1.235
0.2421875,1.235
0.24609375,1.235
0.25,1.235
0.25390625,1.236
0.2578125,1.236
0.26171875,1.236
0.265625,1.236
0.26953125,1.236
0.2734375,1.236
0.27734375,1.236
0.28125,1.236
0.28515625,1.236
0.2890625,1.236
0.29296875,1.236
0.296875,1.236
0.30078125,1.236
0.3046875,1.236
0.30859375,1.237
0.3125,1.237
0.31640625,1.237
0.3203125,1.237
0.32421875,1.237
0.328125,1.237
0.33203125,1.237
0.3359375,1.237
0.33984375,1.237
0.34375,1.237
0.34765625,1.238
0.3515625,1.238
0.35546875,1.238
0.359375,1.238
0.36328125,1.238
0.3671875,1.238
0.37109375,1.238
0.375,1.238
0.37890625,1.239
0.3828125,1.239
0.38671875,1.239
0.390625,1.239
0.39453125,1.239
0.3984375,1.239
0.40234375,1.239
0.40625,1.24
0.41015625,1.24
0.4140625,1.24
0.41796875,1.24
0.421875,1.24
0.42578125,1.24
0.4296875,1.241
0.43359375,1.241
0.4375,1.241
0.44140625,1.241
0.4453125,1.241
0.44921875,1.242
0.453125,1.242
0.45703125,1.242
0.4609375,1.242
0.46484375,1.243
0.46875,1.243
0.47265625,1.243
0.4765625,1.243
0.48046875,1.244
0.484375,1.244
0.48828125,1.244
0.4921875,1.245
0.49609375,1.245
0.5,1.245
0.50390625,1.245
0.5078125,1.246
0.51171875,1.246
0.515625,1.246
0.51953125,1.247
0.5234375,1.247
0.52734375,1.247
0.53125,1.247
0.53515625,1.248
0.5390625,1.248
0.54296875,1.248
0.546875,1.248
0.55078125,1.249
0.5546875,1.249
0.55859375,1.249
0.5625,1.25
0.56640625,1.25
0.5703125,1.25
0.57421875,1.25
0.578125,1.251
0.58203125,1.251
0.5859375,1.251
0.58984375,1.251
0.59375,1.252
0.59765625,1.252
0.6015625,1.253
0.60546875,1.253
0.609375,1.253
0.61328125,1.254
0.6171875,1.254
0.62109375,1.254
0.625,1.255
0.62890625,1.255
0.6328125,1.256
0.63671875,1.256
0.640625,1.256
0.64453125,1.257
0.6484375,1.257
0.65234375,1.258
0.65625,1.258
0.66015625,1.258
0.6640625,1.259
0.66796875,1.259
