Tiempo,RmsElectro
0.0390625,2.031
0.04296875,2.03
0.046875,2.03
0.05078125,2.03
0.0546875,2.029
0.05859375,2.029
0.0625,2.029
0.06640625,2.029
0.0703125,2.029
0.07421875,2.028
0.078125,2.028
0.08203125,2.028
0.0859375,2.028
0.08984375,2.027
0.09375,2.027
0.09765625,2.027
0.1015625,2.027
0.10546875,2.027
0.109375,2.027
0.11328125,2.027
0.1171875,2.027
0.12109375,2.027
0.125,2.027
0.12890625,2.027
0.1328125,2.026
0.13671875,2.026
0.140625,2.026
0.14453125,2.026
0.1484375,2.026
0.15234375,2.026
0.15625,2.025
0.16015625,2.025
0.1640625,2.025
0.16796875,2.025
0.171875,2.025
0.17578125,2.025
0.1796875,2.024
0.18359375,2.024
0.1875,2.024
0.19140625,2.023
0.1953125,2.023
0.19921875,2.023
0.203125,2.023
0.20703125,2.022
0.2109375,2.022
0.21484375,2.022
0.21875,2.021
0.22265625,2.021
0.2265625,2.021
0.23046875,2.021
0.234375,2.02
0.23828125,2.02
0.2421875,2.02
0.24609375,2.02
0.25,2.02
0.25390625,2.02
0.2578125,2.02
0.26171875,2.019
0.265625,2.019
0.26953125,2.019
0.2734375,2.019
0.27734375,2.019
0.28125,2.019
0.28515625,2.018
0.2890625,2.018
0.29296875,2.018
0.296875,2.018
0.30078125,2.017
0.3046875,2.017
0.30859375,2.017
0.3125,2.016
0.31640625,2.016
0.3203125,2.016
0.32421875,2.016
0.328125,2.016
0.33203125,2.015
0.3359375,2.015
0.33984375,2.015
0.34375,2.015
0.34765625,2.015
0.3515625,2.015
0.35546875,2.015
0.359375,2.014
0.36328125,2.014
0.3671875,2.014
0.37109375,2.014
0.375,2.014
0.37890625,2.013
0.3828125,2.013
0.38671875,2.013
0.390625,2.013
0.39453125,2.013
0.3984375,2.012
0.40234375,2.012
0.40625,2.012
0.41015625,2.012
0.4140625,2.012
0.41796875,2.012
0.421875,2.012
0.42578125,2.012
0.4296875,2.011
0.43359375,2.011
0.4375,2.011
0.44140625,2.011
0.4453125,2.011
0.44921875,2.011
0.453125,2.01
0.45703125,2.01
0.4609375,2.01
0.46484375,2.01
0.46875,2.01
0.47265625,2.01
0.4765625,2.009
0.48046875,2.009
0.484375,2.009
0.48828125,2.009
0.4921875,2.009
0.49609375,2.009
0.5,2.009
0.50390625,2.009
0.5078125,2.008
0.51171875,2.008
0.515625,2.008
0.51953125,2.008
0.5234375,2.008
0.52734375,2.007
0.53125,2.007
0.53515625,2.007
0.5390625,2.007
0.54296875,2.007
0.546875,2.007
0.55078125,2.007
0.5546875,2.007
0.55859375,2.007
0.5625,2.007
0.56640625,2.007
0.5703125,2.007
0.57421875,2.007
0.578125,2.007
0.58203125,2.007
0.5859375,2.007
0.58984375,2.006
0.59375,2.006
0.59765625,2.006
0.6015625,2.006
0.60546875,2.006
0.609375,2.006
0.61328125,2.005
0.6171875,2.005
0.62109375,2.005
0.625,2.005
0.62890625,2.005
0.6328125,2.005
0.63671875,2.004
0.640625,2.004
0.64453125,2.004
0.6484375,2.004
0.65234375,2.004
0.65625,2.003
0.66015625,2.003
0.6640625,2.003
0.66796875,2.002
0.671875,2.002
0.67578125,2.002
0.6796875,2.002
0.68359375,2.001
0.6875,2.001
0.69140625,2.001
0.6953125,2
0.69921875,2
0.703125,2
0.70703125,2
0.7109375,2
0.71484375,1.999
0.71875,1.999
0.72265625,1.999
0.7265625,1.999
0.73046875,1.999
0.734375,1.999
0.73828125,1.998
0.7421875,1.998
0.74609375,1.998
0.75,1.998
0.75390625,1.998
0.7578125,1.997
0.76171875,1.997
0.765625,1.997
0.76953125,1.997
0.7734375,1.996
0.77734375,1.996
0.78125,1.996
0.78515625,1.996
0.7890625,1.996
0.79296875,1.996
0.796875,1.996
0.80078125,1.995
0.8046875,1.995
0.80859375,1.995
0.8125,1.995
0.81640625,1.994
0.8203125,1.994
0.82421875,1.994
0.828125,1.993
0.83203125,1.993
0.8359375,1.993
0.83984375,1.993
0.84375,1.992
0.84765625,1.992
0.8515625,1.992
0.85546875,1.992
0.859375,1.992
0.86328125,1.992
0.8671875,1.992
0.87109375,1.991
0.875,1.991
0.87890625,1.991
0.8828125,1.991
0.88671875,1.991
0.890625,1.991
0.89453125,1.99
0.8984375,1.99
0.90234375,1.99
0.90625,1.989
0.91015625,1.989
0.9140625,1.989
0.91796875,1.989
0.921875,1.989
0.92578125,1.988
0.9296875,1.988
0.93359375,1.988
0.9375,1.988
0.94140625,1.988
0.9453125,1.988
0.94921875,1.988
0.953125,1.988
0.95703125,1.988
0.9609375,1.988
0.96484375,1.987
0.96875,1.987
0.97265625,1.987
0.9765625,1.987
0.98046875,1.986
0.984375,1.986
0.98828125,1.986
0.9921875,1.986
0.99609375,1.986
1,1.986
1.00390625,1.985
1.0078125,1.985
1.01171875,1.985
1.015625,1.985
1.01953125,1.985
1.0234375,1.985
1.02734375,1.985
1.03125,1.985
1.03515625,1.984
1.0390625,1.984
1.04296875,1.984
1.046875,1.984
1.05078125,1.984
1.0546875,1.983
1.05859375,1.983
