Tiempo,RmsElectro
0.0390625,1.694
0.04296875,1.694
0.046875,1.694
0.05078125,1.693
0.0546875,1.693
0.05859375,1.693
0.0625,1.693
0.06640625,1.693
0.0703125,1.693
0.07421875,1.693
0.078125,1.693
0.08203125,1.693
0.0859375,1.693
0.08984375,1.693
0.09375,1.692
0.09765625,1.692
0.1015625,1.692
0.10546875,1.692
0.109375,1.692
0.11328125,1.692
0.1171875,1.692
0.12109375,1.692
0.125,1.691
0.12890625,1.691
0.1328125,1.691
0.13671875,1.691
0.140625,1.691
0.14453125,1.69
0.1484375,1.69
0.15234375,1.69
0.15625,1.69
0.16015625,1.689
0.1640625,1.689
0.16796875,1.689
0.171875,1.689
0.17578125,1.689
0.1796875,1.689
0.18359375,1.689
0.1875,1.689
0.19140625,1.689
0.1953125,1.689
0.19921875,1.689
0.203125,1.689
0.20703125,1.689
0.2109375,1.689
0.21484375,1.689
0.21875,1.689
0.22265625,1.689
0.2265625,1.689
0.23046875,1.689
0.234375,1.689
0.23828125,1.689
0.2421875,1.689
0.24609375,1.689
0.25,1.688
0.25390625,1.688
0.2578125,1.688
0.26171875,1.688
0.265625,1.688
0.26953125,1.688
0.2734375,1.688
0.27734375,1.688
0.28125,1.688
0.28515625,1.688
0.2890625,1.688
0.29296875,1.688
0.296875,1.687
0.30078125,1.687
0.3046875,1.688
0.30859375,1.688
0.3125,1.688
0.31640625,1.688
0.3203125,1.688
0.32421875,1.688
0.328125,1.688
0.33203125,1.688
0.3359375,1.688
0.33984375,1.688
0.34375,1.688
0.34765625,1.688
0.3515625,1.688
0.35546875,1.688
0.359375,1.688
0.36328125,1.688
0.3671875,1.688
0.37109375,1.688
0.375,1.688
0.37890625,1.688
0.3828125,1.688
0.38671875,1.688
0.390625,1.688
0.39453125,1.688
0.3984375,1.688
0.40234375,1.688
0.40625,1.688
0.41015625,1.688
0.4140625,1.688
0.41796875,1.688
0.421875,1.688
0.42578125,1.688
0.4296875,1.688
0.43359375,1.688
0.4375,1.688
0.44140625,1.688
0.4453125,1.688
0.44921875,1.688
0.453125,1.688
0.45703125,1.688
0.4609375,1.688
0.46484375,1.688
0.46875,1.688
0.47265625,1.688
0.4765625,1.688
0.48046875,1.688
0.484375,1.688
0.48828125,1.688
0.4921875,1.688
0.49609375,1.688
0.5,1.688
0.50390625,1.688
0.5078125,1.687
0.51171875,1.687
0.515625,1.687
0.51953125,1.687
0.5234375,1.687
0.52734375,1.687
0.53125,1.688
0.53515625,1.688
0.5390625,1.688
0.54296875,1.688
0.546875,1.688
0.55078125,1.688
0.5546875,1.688
0.55859375,1.688
